folder_path,metadata_file,disciplina,tema,conceito,tipo,descricao,tags,difficulty_min,difficulty_max,has_subvariants,num_exercises_listed,sample_exercises,sibling_jsons,warnings
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\estudo_monotonia\monotonia_pura,metadata.json,matematica,A12_otimizacao,estudo_monotonia,monotonia_pura,Exercícios com funções abstratas para estudar monotonia usando derivadas.,"[""monotonia"", ""derivadas"", ""funcoes_abstratas"", ""crescente"", ""decrescente""]",2,3,False,2,"[""MAT_A12OTIMI_ESTU_MPU_001"", ""MAT_A12OTIMI_ESTU_MPU_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\estudo_monotonia\monotonia_real,metadata.json,matematica,A12_otimizacao,estudo_monotonia,monotonia_real,Exercícios com contextos reais onde a monotonia é usada como método de análise.,"[""monotonia"", ""derivadas"", ""contexto_real"", ""modelacao""]",2,3,False,1,"[""MAT_A12OTIMI_EXX_MRX_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\estudo_monotonia\problema_real_monotonia,metadata.json,matematica,A12_otimizacao,estudo_monotonia,problema_real_monotonia,Exercícios de problema real monotonia,"[""problema_real"", ""otimização"", ""monotonia""]",1,3,False,2,"[""MAT_A12OTIMI_EXX_PRM_001"", ""MAT_A12OTIMI_EXX_PRM_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\problemas_simples_otimizacao\modelagem,metadata.json,matematica,A12_otimizacao,problemas_simples_otimizacao,modelagem,Problemas do tipo f(x)=a onde f(x) modela um contexto real e os alunos interpretam e resolvem.,"[""modelagem"", ""funcao"", ""interpretacao"", ""contexto_real""]",2,3,False,2,"[""MAT_A12OTIMI_PROB_MOD_001"", ""MAT_A12OTIMI_PROB_MOD_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\problemas_simples_otimizacao\problemas_de_rampas,metadata.json,matematica,A12_otimizacao,problemas_simples_otimizacao,problemas_de_rampas,"Usar trigonometria para calcular ângulo de inclinação de rampas (ex: acessibilidade para cadeira de rodas), dado comprimento e altura.","[""trigonometria"", ""rampas"", ""acessibilidade"", ""angulo""]",2,3,False,2,"[""MAT_A12OTIMI_PROB_RAM_001"", ""MAT_A12OTIMI_PROB_RAM_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\problemas_simples_otimizacao\triangulos_ret_puros,metadata.json,matematica,A12_otimizacao,problemas_simples_otimizacao,triangulos_ret_puros,Determinar vértices de um triângulo retângulo sabendo que dois pertencem ao gráfico de uma função específica.,"[""triangulo_retangulo"", ""vertices"", ""funcao"", ""coordenadas""]",2,3,False,1,"[""MAT_A12OTIMI_PXX_TRP_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A7_probabilidade\1-eventos_e_espaco_amostral\simples,metadata.json,matematica,A7_probabilidade,1-eventos_e_espaco_amostral,simples,simples,"[""simples""]",2,4,False,1,"[""MAT_A7PROBAB_1EX_SXX_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A8_modelos_discretos\1-sistemas_numericos\determinacao_valores,metadata.json,matematica,A8_modelos_discretos,1-sistemas_numericos,determinacao_valores,"Traduzir diferentes sistemas numéricos uns nos outros, como por exemplo, traduzir 10 em número binário.","[""Representa""]",2,4,False,3,"[""MAT_A8MODELO_1SX_DVX_001"", ""MAT_A8MODELO_1SX_DVX_002"", ""MAT_A8MODELO_1SX_DVX_003""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A8_modelos_discretos\1-sistemas_numericos\numeros_figurados,metadata.json,,A8_modelos_discretos,,numeros_figurados,"Exercícios sobre sucessões de números figurados, com representação visual e conversão entre sistemas de numeração.","[""números figurados"", ""sucessões"", ""sistemas de numeração"", ""conversão de bases"", ""regra da sucessão""]",,,False,14,"[""MAT_A8MODELO_1SX_NFX_001"", ""MAT_A8MODELO_1SX_NFX_002"", ""MAT_A8MODELO_1SX_NFX_003""]",[],"[""missing_disciplina"", ""missing_conceito""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\0-revisoes\aplicacoes_praticas,MAT_A9FUNCRE_0REV_APL_001.json,matematica,A9_funcoes_crescimento,0-revisoes,aplicacoes_praticas,,"[""revisao"", ""proporcionalidade"", ""aplicacao_pratica"", ""razao""]",2,2,False,0,[],"[""MAT_A9FUNCRE_0REV_APL_002.json"", ""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\0-revisoes\aplicacoes_praticas,MAT_A9FUNCRE_0REV_APL_002.json,matematica,A9_funcoes_crescimento,0-revisoes,aplicacoes_praticas,,"[""revisao"", ""percentagens"", ""aplicacao_pratica"", ""financas""]",2,2,False,0,[],"[""MAT_A9FUNCRE_0REV_APL_001.json"", ""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\0-revisoes\aplicacoes_praticas,metadata.json,matematica,A9_funcoes_crescimento,0-revisoes,aplicacoes_praticas,"Exercícios de aplicação de conceitos matemáticos básicos (proporcionalidade, percentagens) em contextos práticos do quotidiano.","[""aplicacao_pratica"", ""proporcionalidade"", ""percentagens"", ""contexto_real""]",2,3,False,2,"[""MAT_A9FUNCOE_0RX_APX_001"", ""MAT_A9FUNCOE_0RX_APX_002""]","[""MAT_A9FUNCRE_0REV_APL_001.json"", ""MAT_A9FUNCRE_0REV_APL_002.json""]",[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\0-revisoes\calculo_funcoes,MAT_A9FUNCRE_0REV_CAL_001.json,matematica,A9_funcoes_crescimento,0-revisoes,calculo_funcoes,,"[""revisao"", ""funcoes"", ""calculo_imagens"", ""equacoes""]",2,2,False,0,[],"[""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\0-revisoes\calculo_funcoes,metadata.json,matematica,A9_funcoes_crescimento,0-revisoes,calculo_funcoes,"Exercícios de cálculo de imagens, objetos e manipulação algébrica básica de funções.","[""calculo_imagens"", ""calculo_objetos"", ""algebra"", ""funcoes_lineares""]",2,3,False,1,"[""MAT_A9FUNCRE_0REV_CAL_001""]","[""MAT_A9FUNCRE_0REV_CAL_001.json""]",[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\0-revisoes\conceito_funcao,MAT_A9FUNCRE_0REV_CFU_001.json,matematica,A9_funcoes_crescimento,0-revisoes,conceito_funcao,,"[""revisao"", ""crescimento"", ""funcoes"", ""conceito_funcao"", ""proporcionalidade"", ""percentagens""]",2,2,False,0,[],"[""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\0-revisoes\conceito_funcao,metadata.json,matematica,A9_funcoes_crescimento,0-revisoes,conceito_funcao,"Exercícios sobre o conceito fundamental de função, verificação de correspondências e identificação de funções.","[""conceito_funcao"", ""definicao"", ""correspondencia"", ""verificacao""]",1,2,False,4,"[""MAT_A9FUNCOE_0RX_CFX_001"", ""MAT_A9FUNCOE_0RX_CFX_002"", ""MAT_A9FUNCOE_0RX_CFX_003""]","[""MAT_A9FUNCRE_0REV_CFU_001.json""]",[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\crescimento_bacterias,MAT_A9FUNCRE_1EXP_CBA_001.json,matematica,A9_funcoes_crescimento,1-exponenciais,crescimento_bacterias,,"[""crescimento_exponencial"", ""bacterias"", ""modelo_continuo"", ""exponenciais"", ""numero_euler""]",3,3,False,0,[],"[""MAT_A9FUNCRE_1EXP_CBA_002.json"", ""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\crescimento_bacterias,MAT_A9FUNCRE_1EXP_CBA_002.json,matematica,A9_funcoes_crescimento,1-exponenciais,crescimento_bacterias,,"[""crescimento_exponencial"", ""bacterias"", ""exponenciais"", ""modelacao"", ""expoente_fracionario""]",3,3,False,0,[],"[""MAT_A9FUNCRE_1EXP_CBA_001.json"", ""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\crescimento_bacterias,metadata.json,matematica,A9_funcoes_crescimento,1-exponenciais,crescimento_bacterias,"Modelação de crescimento bacteriano usando funções exponenciais, incluindo modelos com base e e expoentes fracionários.","[""crescimento_exponencial"", ""bacterias"", ""biologia"", ""modelo_continuo""]",3,4,False,2,"[""MAT_A9FUNCRE_1EXP_CBA_001"", ""MAT_A9FUNCRE_1EXP_CBA_002""]","[""MAT_A9FUNCRE_1EXP_CBA_001.json"", ""MAT_A9FUNCRE_1EXP_CBA_002.json""]",[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\crescimento_populacional,MAT_A9FUNCRE_1EXP_CPO_001.json,matematica,A9_funcoes_crescimento,1-exponenciais,crescimento_populacional,,"[""crescimento_exponencial"", ""modelacao"", ""exponenciais"", ""populacao"", ""interpretacao_grafica""]",3,3,False,0,[],"[""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\crescimento_populacional,metadata.json,matematica,A9_funcoes_crescimento,1-exponenciais,crescimento_populacional,Modelação de crescimento de populações através de funções exponenciais. Inclui interpretação gráfica e resolução de problemas contextualizados.,"[""crescimento_exponencial"", ""populacao"", ""modelacao"", ""interpretacao""]",3,4,False,1,"[""MAT_A9FUNCRE_1EXP_CPO_001""]","[""MAT_A9FUNCRE_1EXP_CPO_001.json""]",[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\decaimento_medicamento,MAT_A9FUNCRE_1EXP_DME_001.json,matematica,A9_funcoes_crescimento,1-exponenciais,decaimento_medicamento,,"[""decaimento_exponencial"", ""medicamento"", ""exponenciais"", ""modelacao"", ""farmacologia""]",3,3,False,0,[],"[""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\decaimento_medicamento,metadata.json,matematica,A9_funcoes_crescimento,1-exponenciais,decaimento_medicamento,Modelação de decaimento de concentração de medicamentos no organismo através de funções exponenciais.,"[""decaimento_exponencial"", ""medicamento"", ""farmacologia"", ""modelacao""]",3,4,False,1,"[""MAT_A9FUNCOE_1EX_DMX_001""]","[""MAT_A9FUNCRE_1EXP_DME_001.json""]",[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\depreciacao_valor,MAT_A9FUNCRE_1EXP_DPR_001.json,matematica,A9_funcoes_crescimento,1-exponenciais,depreciacao_valor,,"[""decaimento_exponencial"", ""valor_comercial"", ""financeiro"", ""exponenciais"", ""depreciacao""]",3,3,False,0,[],"[""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\1-exponenciais\depreciacao_valor,metadata.json,matematica,A9_funcoes_crescimento,1-exponenciais,depreciacao_valor,Modelação de depreciação de valor comercial de bens através de funções exponenciais decrescentes.,"[""decaimento_exponencial"", ""depreciacao"", ""financeiro"", ""valor_comercial""]",3,4,False,1,"[""MAT_A9FUNCOE_1EX_DVX_001""]","[""MAT_A9FUNCRE_1EXP_DPR_001.json""]",[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P1_modelos_matematicos_para_a_cidadania\eleicoes\analise_tabelas_eleitorais,metadata.json,,,eleicoes,analise_tabelas_eleitorais,,"[""tabelas"", ""percentagens"", ""maioria"", ""abstenção"", ""brancos"", ""nulos""]",2,3,False,1,"[""MAT_P1MODELO_EXX_ATE_001""]",[],"[""missing_disciplina"", ""missing_tema""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P1_modelos_matematicos_para_a_cidadania\eleicoes\compreensao_termos,metadata.json,,,eleicoes,compreensao_termos,,"[""definições"", ""leitura"", ""associação""]",1,2,False,2,"[""MAT_P1MODELO_EXX_CTX_001"", ""MAT_P1MODELO_EXX_CTX_002""]",[],"[""missing_disciplina"", ""missing_tema""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P1_modelos_matematicos_para_a_cidadania\eleicoes\conceitos_eleitorais,metadata.json,,,eleicoes,conceitos_eleitorais,,"[""maioria"", ""abstenção"", ""votos"", ""definições""]",1,2,False,1,"[""MAT_P1MODELO_ELE_CONC_001""]",[],"[""missing_disciplina"", ""missing_tema""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P1_modelos_matematicos_para_a_cidadania\financas_pessoais\calculo_percentagens_financeiras,MAT_P1MODELO_FINA_CAL_001.json,matematica,P1_modelos_matematicos_para_a_cidadania,financas_pessoais,calculo_percentagens_financeiras,,"[""calculo_percentagens_financeiras"", ""financas_pessoais""]",2,2,False,0,[],"[""MAT_P1MODELO_FIN_CALC_001.json"", ""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P1_modelos_matematicos_para_a_cidadania\financas_pessoais\calculo_percentagens_financeiras,MAT_P1MODELO_FIN_CALC_001.json,matematica,P1_modelos_matematicos_para_a_cidadania,financas_pessoais,calculo_percentagens_financeiras,,"[""percentagens"", ""financas_pessoais"", ""juros"", ""impostos"", ""orcamento_familiar"", ""investimentos""]",2,2,False,0,[],"[""MAT_P1MODELO_FINA_CAL_001.json"", ""metadata.json""]","[""no_exercises_listed""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P1_modelos_matematicos_para_a_cidadania\financas_pessoais\calculo_percentagens_financeiras,metadata.json,matematica,P1_modelos_matematicos_para_a_cidadania,financas_pessoais,calculo_percentagens_financeiras,Exercícios do tipo calculo_percentagens_financeiras para o conceito financas_pessoais.,"[""calculo_percentagens_financeiras"", ""financas_pessoais""]",1,3,False,1,"[""MAT_P1MODELO_FINA_CAL_001""]","[""MAT_P1MODELO_FINA_CAL_001.json"", ""MAT_P1MODELO_FIN_CALC_001.json""]",[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P1_modelos_matematicos_para_a_cidadania\percentagens\calculo_percentagens,metadata.json,,,percentagens,calculo_percentagens,,"[""percentagens"", ""aumentos"", ""descontos"", ""regra_de_três""]",1,2,False,3,"[""MAT_P1MODELO_PXX_CPX_001"", ""MAT_P1MODELO_PXX_CPX_002"", ""MAT_P1MODELO_PXX_CPX_003""]",[],"[""missing_disciplina"", ""missing_tema""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P2_estatistica\0-revisoes\desenvolvimento,metadata.json,matematica,P2_estatistica,0-revisoes,desenvolvimento,Exercícios de desenvolvimento,"[""revisoes""]",1,3,False,2,"[""MAT_P2ESTATI_REVI_D_001"", ""MAT_P2ESTATI_REVI_D_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P2_estatistica\1-Medicoes_basicas\estatistica_na_vida,metadata.json,matematica,P2_estatistica,1-Medicoes_basicas,estatistica_na_vida,"Exercícios aplicando medidas estatísticas a valores do dia a dia de alunos e pessoas (notas, gastos, tempos, etc.).","[""media"", ""moda"", ""mediana"", ""vida_quotidiana"", ""interpretacao""]",1,2,False,2,"[""MAT_P2ESTATI_1MX_ENV_001"", ""MAT_P2ESTATI_1MX_ENV_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P2_estatistica\1-Medicoes_basicas\estatistica_poupanca,metadata.json,matematica,P2_estatistica,1-Medicoes_basicas,estatistica_poupanca,"Exercícios aplicando medidas estatísticas (média, moda, mediana) a tabelas que cronometram poupanças de família, pessoa ou instituição.","[""media"", ""moda"", ""mediana"", ""poupanca"", ""interpretacao""]",1,2,False,1,"[""MAT_P2ESTATI_1MX_EPX_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P2_estatistica\1-Medicoes_basicas\estatistica_pura,metadata.json,matematica,P2_estatistica,1-Medicoes_basicas,estatistica_pura,"Exercícios diretos com listas de valores numéricos para calcular medidas estatísticas (média, moda, mediana).","[""media"", ""moda"", ""mediana"", ""calculo_direto""]",1,2,False,1,"[""MAT_P2ESTATI_1MX_EPX_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P2_estatistica\2-Variabilidade\escolha_m_variabilidade,metadata.json,matematica,P2_estatistica,2-Variabilidade,escolha_m_variabilidade,O aluno deverá escolher uma resposta entre várias opções,[],1,5,False,2,"[""MAT_P2ESTATI_VARI_EM_001"", ""MAT_P2ESTATI_2VX_EMV_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P2_estatistica\2-Variabilidade\medidas_de_variabilidade,metadata.json,matematica,P2_estatistica,2-Variabilidade,medidas_de_variabilidade,"Exercícios para calcular medidas de variabilidade como amplitude e desvio absoluto médio, aproveitando contextos de poupança e vida quotidiana.","[""amplitude"", ""desvio_absoluto_medio"", ""variabilidade"", ""dispersao""]",2,3,False,2,"[""MAT_P2ESTATI_2VAR_MDV_001"", ""MAT_P2ESTATI_2VAR_MDV_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\P3_trigonometria\2-triangulos_isosceles,metadata.json,,,2-triangulos_isosceles,,"Exercícios sobre propriedades de triângulos isósceles, incluindo cálculo de ângulos e lados","[""triangulos"", ""isosceles"", ""angulos"", ""lados_iguais"", ""geometria""]",,,False,0,[],[],"[""missing_disciplina"", ""missing_tema"", ""no_exercises_listed""]"
